ID,Quote,Author,Source,Type,Theme,Audience,DisplayAttribution
16,Not every thought deserves a meeting in your head.,Darius Foroux,Think Straight,inspired_by,Clear Thinking,All,Inspired by Think Straight
17,Clear thinking begins when you separate facts from the story you added.,Darius Foroux,Think Straight,inspired_by,Clear Thinking,All,Inspired by Think Straight
18,Your mind gets lighter when you stop answering questions nobody asked.,Darius Foroux,Think Straight,inspired_by,Clear Thinking,All,Inspired by Think Straight
19,"Pause before reacting; a few quiet seconds can save hours of regret.",Darius Foroux,Think Straight,inspired_by,Clear Thinking,All,Inspired by Think Straight
20,Think less about every possibility and more about the next useful action.,Darius Foroux,Think Straight,inspired_by,Clear Thinking,All,Inspired by Think Straight
21,"You cannot command the world, but you can train the mind that meets it.",Marcus Aurelius,Meditations,inspired_by,Stoicism & Self-Mastery,All,Inspired by Meditations
22,Do the right thing without needing the room to notice.,Marcus Aurelius,Meditations,inspired_by,Stoicism & Self-Mastery,All,Inspired by Meditations
23,Your response belongs to you even when the situation does not.,Marcus Aurelius,Meditations,inspired_by,Stoicism & Self-Mastery,All,Inspired by Meditations
24,A difficult person is still an opportunity to practice your character.,Marcus Aurelius,Meditations,inspired_by,Stoicism & Self-Mastery,All,Inspired by Meditations
25,Spend less time judging the day and more time living it well.,Marcus Aurelius,Meditations,inspired_by,Stoicism & Self-Mastery,All,Inspired by Meditations
26,People listen differently when they feel respected before they feel corrected.,Dale Carnegie,How to Win Friends and Influence People,inspired_by,Relationships & Communication,All,Inspired by How to Win Friends and Influence People
27,Ask with genuine interest and you will learn more than you can by trying to impress.,Dale Carnegie,How to Win Friends and Influence People,inspired_by,Relationships & Communication,All,Inspired by How to Win Friends and Influence People
28,Appreciation opens doors that criticism often closes.,Dale Carnegie,How to Win Friends and Influence People,inspired_by,Relationships & Communication,All,Inspired by How to Win Friends and Influence People
29,Winning an argument can still cost you the relationship.,Dale Carnegie,How to Win Friends and Influence People,inspired_by,Relationships & Communication,All,Inspired by How to Win Friends and Influence People
30,Remembering what matters to someone is one of the simplest forms of respect.,Dale Carnegie,How to Win Friends and Influence People,inspired_by,Relationships & Communication,All,Inspired by How to Win Friends and Influence People
31,"Confidence in conversation begins with curiosity, not cleverness.",Leil Lowndes,How to Talk to Anyone,inspired_by,Communication & Confidence,All,Inspired by How to Talk to Anyone
32,"Good conversation is not performing; it is noticing.",Leil Lowndes,How to Talk to Anyone,inspired_by,Communication & Confidence,All,Inspired by How to Talk to Anyone
33,Make people feel seen and you will rarely struggle for something to say.,Leil Lowndes,How to Talk to Anyone,inspired_by,Communication & Confidence,All,Inspired by How to Talk to Anyone
34,"Listen for the detail they care about, then stay with it.",Leil Lowndes,How to Talk to Anyone,inspired_by,Communication & Confidence,All,Inspired by How to Talk to Anyone
35,"Warmth, eye contact, and attention often speak before your words do.",Leil Lowndes,How to Talk to Anyone,inspired_by,Communication & Confidence,All,Inspired by How to Talk to Anyone
36,The ideas you repeat privately can become the habits you live publicly.,Joseph Murphy,The Power of Your Subconscious Mind,inspired_by,Belief & Inner Life,All,Inspired by The Power of Your Subconscious Mind
37,Feed your mind directions you would actually want your life to follow.,Joseph Murphy,The Power of Your Subconscious Mind,inspired_by,Belief & Inner Life,All,Inspired by The Power of Your Subconscious Mind
38,Do not rehearse defeat all day and expect confidence to arrive at night.,Joseph Murphy,The Power of Your Subconscious Mind,inspired_by,Belief & Inner Life,All,Inspired by The Power of Your Subconscious Mind
39,"Your inner language matters; speak to yourself like someone worth guiding.",Joseph Murphy,The Power of Your Subconscious Mind,inspired_by,Belief & Inner Life,All,Inspired by The Power of Your Subconscious Mind
40,"Repeated belief becomes easier to act on, so choose your repetitions carefully.",Joseph Murphy,The Power of Your Subconscious Mind,inspired_by,Belief & Inner Life,All,Inspired by The Power of Your Subconscious Mind
41,Do the task you keep avoiding before it starts running your day.,Brian Tracy,Eat That Frog!,inspired_by,Action & Productivity,All,Inspired by Eat That Frog!
42,The hardest useful thing deserves your freshest energy.,Brian Tracy,Eat That Frog!,inspired_by,Action & Productivity,All,Inspired by Eat That Frog!
43,Procrastination gets weaker the moment you begin.,Brian Tracy,Eat That Frog!,inspired_by,Action & Productivity,All,Inspired by Eat That Frog!
44,"Choose the one task that changes the most, then start there.",Brian Tracy,Eat That Frog!,inspired_by,Action & Productivity,All,Inspired by Eat That Frog!
45,Finishing an important task creates more momentum than planning ten easy ones.,Brian Tracy,Eat That Frog!,inspired_by,Action & Productivity,All,Inspired by Eat That Frog!
46,People connect more deeply with the reason behind the work than the work alone.,Simon Sinek,Start With Why,inspired_by,Purpose & Leadership,All,Inspired by Start With Why
47,A strong purpose makes hard decisions easier to explain.,Simon Sinek,Start With Why,inspired_by,Purpose & Leadership,All,Inspired by Start With Why
48,Know why you are building before you obsess over how fast it grows.,Simon Sinek,Start With Why,inspired_by,Purpose & Leadership,All,Inspired by Start With Why
49,Purpose gives consistency somewhere to point.,Simon Sinek,Start With Why,inspired_by,Purpose & Leadership,All,Inspired by Start With Why
50,"When the reason is clear, the message becomes easier to trust.",Simon Sinek,Start With Why,inspired_by,Purpose & Leadership,All,Inspired by Start With Why
51,"What you focus on shapes what you notice, so give your attention a better direction.",Rhonda Byrne,The Secret,inspired_by,Optimism & Intention,All,Inspired by The Secret
52,Hope works best when it is paired with movement.,Rhonda Byrne,The Secret,inspired_by,Optimism & Intention,All,Inspired by The Secret
53,"Picture the life you want, then behave like your choices matter.",Rhonda Byrne,The Secret,inspired_by,Optimism & Intention,All,Inspired by The Secret
54,Gratitude can change the tone of a day before the circumstances change.,Rhonda Byrne,The Secret,inspired_by,Optimism & Intention,All,Inspired by The Secret
55,A positive mindset is strongest when it becomes positive action.,Rhonda Byrne,The Secret,inspired_by,Optimism & Intention,All,Inspired by The Secret
56,Some dreams keep returning because they are asking for a decision.,Paulo Coelho,The Alchemist,inspired_by,Dreams & Courage,All,Inspired by The Alchemist
57,The road can teach you things the destination never could.,Paulo Coelho,The Alchemist,inspired_by,Dreams & Courage,All,Inspired by The Alchemist
58,Courage often looks like continuing before you have proof.,Paulo Coelho,The Alchemist,inspired_by,Dreams & Courage,All,Inspired by The Alchemist
59,Do not ignore the life that keeps calling you just because the path is unfamiliar.,Paulo Coelho,The Alchemist,inspired_by,Dreams & Courage,All,Inspired by The Alchemist
60,A meaningful journey changes the person who began it.,Paulo Coelho,The Alchemist,inspired_by,Dreams & Courage,All,Inspired by The Alchemist
61,Protect your ability to question the story everyone is told to repeat.,George Orwell,1984,inspired_by,Truth & Freedom,All,Inspired by 1984
62,"When language gets smaller, independent thought can shrink with it.",George Orwell,1984,inspired_by,Truth & Freedom,All,Inspired by 1984
63,Truth needs defenders most when power would prefer convenience.,George Orwell,1984,inspired_by,Truth & Freedom,All,Inspired by 1984
64,A society becomes dangerous when people are afraid to say what they can plainly see.,George Orwell,1984,inspired_by,Truth & Freedom,All,Inspired by 1984
65,Freedom includes the right to think beyond the approved answer.,George Orwell,1984,inspired_by,Truth & Freedom,All,Inspired by 1984
66,Watch what happens when rules apply differently to the powerful.,George Orwell,Animal Farm,inspired_by,Power & Fairness,All,Inspired by Animal Farm
67,A promise of equality means little if privilege quietly rewrites the rules.,George Orwell,Animal Farm,inspired_by,Power & Fairness,All,Inspired by Animal Farm
68,Power should be judged by how it treats those with less of it.,George Orwell,Animal Farm,inspired_by,Power & Fairness,All,Inspired by Animal Farm
69,"When leaders stop accepting questions, slogans begin replacing truth.",George Orwell,Animal Farm,inspired_by,Power & Fairness,All,Inspired by Animal Farm
70,"Fairness needs accountability, not just beautiful words.",George Orwell,Animal Farm,inspired_by,Power & Fairness,All,Inspired by Animal Farm
71,Build a routine that makes the person you want to become easier to be.,James Clear,Atomic Habits,inspired_by,Habits & Identity,All,Inspired by Atomic Habits
72,Tiny choices become a lifestyle when you repeat them long enough.,James Clear,Atomic Habits,inspired_by,Habits & Identity,All,Inspired by Atomic Habits
73,Make good habits easy to start and bad habits harder to reach.,James Clear,Atomic Habits,inspired_by,Habits & Identity,All,Inspired by Atomic Habits
74,"Do not wait for a new identity; practice it in small ways today.",James Clear,Atomic Habits,inspired_by,Habits & Identity,All,Inspired by Atomic Habits
75,"Consistency is often the result of better systems, not stronger willpower.",James Clear,Atomic Habits,inspired_by,Habits & Identity,All,Inspired by Atomic Habits
76,Spend more energy on what you can influence than on what you can only complain about.,Stephen R. Covey,The 7 Habits of Highly Effective People,inspired_by,Effectiveness & Character,All,Inspired by The 7 Habits of Highly Effective People
77,Choose your priorities before other people's urgency chooses them for you.,Stephen R. Covey,The 7 Habits of Highly Effective People,inspired_by,Effectiveness & Character,All,Inspired by The 7 Habits of Highly Effective People
78,Listen to understand before preparing your reply.,Stephen R. Covey,The 7 Habits of Highly Effective People,inspired_by,Effectiveness & Character,All,Inspired by The 7 Habits of Highly Effective People
79,"A strong life needs renewal, not endless output.",Stephen R. Covey,The 7 Habits of Highly Effective People,inspired_by,Effectiveness & Character,All,Inspired by The 7 Habits of Highly Effective People
80,Real success works better when your values and your schedule know each other.,Stephen R. Covey,The 7 Habits of Highly Effective People,inspired_by,Effectiveness & Character,All,Inspired by The 7 Habits of Highly Effective People
81,"Even when choices become painfully limited, your attitude still matters.",Viktor E. Frankl,Man's Search for Meaning,inspired_by,Meaning & Resilience,All,Inspired by Man's Search for Meaning
82,Meaning can give suffering a direction without pretending suffering is good.,Viktor E. Frankl,Man's Search for Meaning,inspired_by,Meaning & Resilience,All,Inspired by Man's Search for Meaning
83,A reason to continue can carry you through a season you cannot control.,Viktor E. Frankl,Man's Search for Meaning,inspired_by,Meaning & Resilience,All,Inspired by Man's Search for Meaning
84,You are more than the circumstance currently surrounding you.,Viktor E. Frankl,Man's Search for Meaning,inspired_by,Meaning & Resilience,All,Inspired by Man's Search for Meaning
85,"Purpose does not remove pain, but it can keep pain from becoming your entire identity.",Viktor E. Frankl,Man's Search for Meaning,inspired_by,Meaning & Resilience,All,Inspired by Man's Search for Meaning
86,Wealth is often what you do not need to display.,Morgan Housel,The Psychology of Money,inspired_by,Money & Perspective,All,Inspired by The Psychology of Money
87,Enough is a powerful financial goal when comparison keeps moving the finish line.,Morgan Housel,The Psychology of Money,inspired_by,Money & Perspective,All,Inspired by The Psychology of Money
88,Good money decisions are usually more about behavior than brilliance.,Morgan Housel,The Psychology of Money,inspired_by,Money & Perspective,All,Inspired by The Psychology of Money
89,Time can do more for money than constant excitement can.,Morgan Housel,The Psychology of Money,inspired_by,Money & Perspective,All,Inspired by The Psychology of Money
90,"Build finances that help you sleep, not just numbers that impress strangers.",Morgan Housel,The Psychology of Money,inspired_by,Money & Perspective,All,Inspired by The Psychology of Money
91,You can live by your values without collecting everyone's approval.,Ichiro Kishimi & Fumitake Koga,The Courage to Be Disliked,inspired_by,Self-Respect & Freedom,All,Inspired by The Courage to Be Disliked
92,Not every opinion about you is an assignment.,Ichiro Kishimi & Fumitake Koga,The Courage to Be Disliked,inspired_by,Self-Respect & Freedom,All,Inspired by The Courage to Be Disliked
93,"Your responsibility is your choices, not controlling how everyone receives them.",Ichiro Kishimi & Fumitake Koga,The Courage to Be Disliked,inspired_by,Self-Respect & Freedom,All,Inspired by The Courage to Be Disliked
94,Freedom begins when you stop organizing your life around being liked.,Ichiro Kishimi & Fumitake Koga,The Courage to Be Disliked,inspired_by,Self-Respect & Freedom,All,Inspired by The Courage to Be Disliked
95,Be considerate without making other people's expectations your identity.,Ichiro Kishimi & Fumitake Koga,The Courage to Be Disliked,inspired_by,Self-Respect & Freedom,All,Inspired by The Courage to Be Disliked
96,The best move is often made before the conflict begins.,Sun Tzu,The Art of War,inspired_by,Strategy & Discipline,All,Inspired by The Art of War
97,"Know your strengths, know the situation, and stop fighting on someone else's terms.",Sun Tzu,The Art of War,inspired_by,Strategy & Discipline,All,Inspired by The Art of War
98,Preparation can make courage look calm.,Sun Tzu,The Art of War,inspired_by,Strategy & Discipline,All,Inspired by The Art of War
99,Do not waste energy proving strength when strategy can solve the problem quietly.,Sun Tzu,The Art of War,inspired_by,Strategy & Discipline,All,Inspired by The Art of War
100,"A wise plan considers the cost of winning, not just the thrill of battle.",Sun Tzu,The Art of War,inspired_by,Strategy & Discipline,All,Inspired by The Art of War
