TrackID,Track,Artist,Mood,Audience,Topics,Era,Lane,RightsStatus,FilePath,TrendScore,PopularityScore,NostalgiaScore,Active,Notes
NOST049,Beautiful Day,U2,joyful,Adults,Gratitude;Happiness;Travel & Adventure;Lifestyle,nostalgia,instagram_library,instagram_licensed_only,,0,95,95,true,Positive gratitude and lifestyle fit.
NOST050,Iris,Goo Goo Dolls,reflective,Adults,Love;Authenticity & Identity;Relationships;Hope,nostalgia,instagram_library,instagram_licensed_only,,0,98,100,true,Strong emotional nostalgia fit.
CUR001,Rein Me In,Sam Fender & Olivia Dean,warm,Adults,Love;Relationships;Growth;Lifestyle,current_2026,instagram_library,instagram_licensed_only,,100,85,0,true,English-language current-chart candidate; Official Charts August 2026.
CUR002,Stupid Song,Olivia Rodrigo,joyful,Adults,Relationships;Funny & Relatable;Lifestyle;Authenticity & Identity,current_2026,instagram_library,instagram_licensed_only,,90,90,0,true,English-language current-chart candidate; Official Charts August 2026.
CUR003,Hate That I Made You Love Me,Ariana Grande,warm,Adults,Love;Relationships;Breakups;Healing,current_2026,instagram_library,instagram_licensed_only,,85,95,0,true,English-language 2026 hit candidate.
CUR004,I Knew It I Knew You,Taylor Swift,reflective,Adults,Love;Relationships;Breakups;Growth,current_2026,instagram_library,instagram_licensed_only,,75,100,0,true,English-language 2026 hit candidate.
CUR005,Animal,KATSEYE,energy,Adults,Fitness;Confidence;Music & Dance;Lifestyle,current_2026,instagram_library,instagram_licensed_only,,100,85,0,true,English-language Official Trending Chart candidate from August 2026.
CUR006,Loser,Tame Impala,reflective,Adults,Funny & Relatable;Lifestyle;Growth;Authenticity & Identity,current_2026,instagram_library,instagram_licensed_only,,95,90,0,true,English-language Official Trending Chart candidate; use only where quote tone fits.
CUR007,Lost Weekend,Phoebe Bridgers,reflective,Adults,Rest & Recovery;Mental Health;Lifestyle;Growth,current_2026,instagram_library,instagram_licensed_only,,85,85,0,true,English-language Official Trending Chart candidate from August 2026.
CUR008,oh yeah?,Steve Lacy,joyful,Adults,Lifestyle;Music & Dance;Confidence;Funny & Relatable,current_2026,instagram_library,instagram_licensed_only,,90,85,0,true,English-language Official Trending Chart candidate from August 2026.
CUR009,Stop the Wedding!,Ashe,warm,Adults,Love;Marriage;Relationships;Breakups,current_2026,instagram_library,instagram_licensed_only,,75,80,0,true,English-language Official Trending Chart candidate from August 2026.
CUR010,Choosin' Texas,Ella Langley,warm,Adults,Love;Lifestyle;Travel & Adventure;Relationships,current_2026,instagram_library,instagram_licensed_only,,90,90,0,true,English-language current-chart candidate; Official Charts August 2026.
AUTO_TEMPLATE_001,Replace with approved track,Artist,reflective,All,Growth;Peace,current,auto,rights_cleared,audio/reflective/replace_me.mp3,0,0,0,false,Template only. Set a real FilePath and Active=true only after usage rights are confirmed.
