QuoteID,Quote,SupportingText,Audience,TopicCategory,Topic,Theme,SourceType,InspiredBy,Author,AttributionNote,OriginalTheme,SourceURL,Occasion,IllustrationTags,SourceLibrary,SourceFile,DuplicateOf,QualityStatus
CH011,One day you will miss the ordinary days you are living now.,,Kids|Teens,Family,Childhood Nostalgia,Childhood Joy & Innocence,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Childhood Joy & Innocence,,,"childhood,bicycle,school,mother-child",children,data/library/children_master.csv,,approved
CH012,Let childhood be loud with laughter and soft with kindness.,,Kids|Teens,Family,Childhood Nostalgia,Childhood Joy & Innocence,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Childhood Joy & Innocence,,,"childhood,bicycle,school,mother-child",children,data/library/children_master.csv,,approved
CH013,"Home can be a person, and sometimes that person is Mom.",,Kids|Teens,Family,Mother,Mom & Family,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Mom & Family,,,"mother-child,mom",children,data/library/children_master.csv,,approved
CH014,A mother's hug can make a hard day feel smaller.,,Kids|Teens,Family,Mother,Mom & Family,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Mom & Family,,,"mother-child,mom",children,data/library/children_master.csv,,approved
CH015,The hands that packed your lunch were also building your memories.,,Kids|Teens,Family,Mother,Mom & Family,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Mom & Family,,,"mother-child,mom",children,data/library/children_master.csv,,approved
CH016,Love often looks like someone asking if you ate.,,Kids|Teens,Family,Mother,Mom & Family,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Mom & Family,,,"mother-child,mom",children,data/library/children_master.csv,,approved
CH017,Family is not about being perfect; it is about showing up.,,Kids|Teens,Family,Mother,Mom & Family,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Mom & Family,,,"mother-child,mom",children,data/library/children_master.csv,,approved
CH018,Say thank you for the little things before they become old memories.,,Kids|Teens,Family,Mother,Mom & Family,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Mom & Family,,,"mother-child,mom",children,data/library/children_master.csv,,approved
CH019,The safest childhood memories often begin at home.,,Kids|Teens,Family,Mother,Mom & Family,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Mom & Family,,,"mother-child,mom",children,data/library/children_master.csv,,approved
CH020,A parent's time is one of the greatest gifts a child can keep.,,Kids|Teens,Family,Mother,Mom & Family,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Mom & Family,,,"mother-child,mom",children,data/library/children_master.csv,,approved
CH021,Growing up does not make a mother's love feel any less like home.,,Kids|Teens,Family,Mother,Mom & Family,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Mom & Family,,,"mother-child,mom",children,data/library/children_master.csv,,approved
CH022,Be kind at home too. Your family deserves your best heart.,,Kids|Teens,Family,Mother,Mom & Family,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Mom & Family,,,"mother-child,mom",children,data/library/children_master.csv,,approved
CH023,Good friends make boring days legendary.,,Kids|Teens,Relationships,Friendship,Friendship,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Friendship,,,"friends,group,laughter",children,data/library/children_master.csv,,approved
CH024,Choose friends who clap when you win.,,Kids|Teens,Relationships,Friendship,Friendship,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Friendship,,,"friends,group,laughter",children,data/library/children_master.csv,,approved
CH025,A real friend does not ask you to become smaller to fit in.,,Kids|Teens,Relationships,Friendship,Friendship,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Friendship,,,"friends,group,laughter",children,data/library/children_master.csv,,approved
CH026,Laugh loudly with people who let you be yourself.,,Kids|Teens,Relationships,Friendship,Friendship,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Friendship,,,"friends,group,laughter",children,data/library/children_master.csv,,approved
CH027,Friendship is better when nobody has to pretend.,,Kids|Teens,Relationships,Friendship,Friendship,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Friendship,,,"friends,group,laughter",children,data/library/children_master.csv,,approved
CH028,The best teams pass the ball and share the credit.,,Kids|Teens,Relationships,Friendship,Friendship,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Friendship,,,"friends,group,laughter",children,data/library/children_master.csv,,approved
CH029,Be the friend who includes the person standing alone.,,Kids|Teens,Relationships,Friendship,Friendship,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Friendship,,,"friends,group,laughter",children,data/library/children_master.csv,,approved
CH030,Your circle should feel safe enough for honesty.,,Kids|Teens,Relationships,Friendship,Friendship,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Friendship,,,"friends,group,laughter",children,data/library/children_master.csv,,approved
CH031,"Some friendships begin with one simple, 'Want to play?'",,Kids|Teens,Relationships,Friendship,Friendship,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Friendship,,,"friends,group,laughter",children,data/library/children_master.csv,,approved
CH032,Keep people around you who are kind when nobody is watching.,,Kids|Teens,Relationships,Friendship,Friendship,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Friendship,,,"friends,group,laughter",children,data/library/children_master.csv,,approved
CH033,"Walk in like you belong there, because you do.",,Kids|Teens,Youth,Teen Confidence,Confidence & Attitude,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Confidence & Attitude,,,"teens,friends,sports",children,data/library/children_master.csv,,approved
CH034,You do not need permission to have a voice.,,Kids|Teens,Youth,Teen Confidence,Confidence & Attitude,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Confidence & Attitude,,,"teens,friends,sports",children,data/library/children_master.csv,,approved
CH035,"Be kind, but do not confuse kindness with weakness.",,Kids|Teens,Youth,Teen Confidence,Confidence & Attitude,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Confidence & Attitude,,,"teens,friends,sports",children,data/library/children_master.csv,,approved
CH036,Your standards are allowed to be higher than the crowd's.,,Kids|Teens,Youth,Teen Confidence,Confidence & Attitude,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Confidence & Attitude,,,"teens,friends,sports",children,data/library/children_master.csv,,approved
CH037,Confidence looks good on everyone.,,Kids|Teens,Youth,Teen Confidence,Confidence & Attitude,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Confidence & Attitude,,,"teens,friends,sports",children,data/library/children_master.csv,,approved
CH038,You can say no without becoming the villain.,,Kids|Teens,Youth,Teen Confidence,Confidence & Attitude,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Confidence & Attitude,,,"teens,friends,sports",children,data/library/children_master.csv,,approved
CH039,Do not shrink your personality to make someone else comfortable.,,Kids|Teens,Youth,Teen Confidence,Confidence & Attitude,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Confidence & Attitude,,,"teens,friends,sports",children,data/library/children_master.csv,,approved
CH040,Be bold enough to be different and calm enough not to explain it.,,Kids|Teens,Youth,Teen Confidence,Confidence & Attitude,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Confidence & Attitude,,,"teens,friends,sports",children,data/library/children_master.csv,,approved
CH041,"Your opinion matters, and so does listening.",,Kids|Teens,Youth,Teen Confidence,Confidence & Attitude,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Confidence & Attitude,,,"teens,friends,sports",children,data/library/children_master.csv,,approved
CH042,Cool is being comfortable with who you are.,,Kids|Teens,Youth,Teen Confidence,Confidence & Attitude,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Confidence & Attitude,,,"teens,friends,sports",children,data/library/children_master.csv,,approved
CH043,Wear your confidence like your favorite outfit.,,Kids|Teens,Youth,Teen Confidence,Confidence & Attitude,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Confidence & Attitude,,,"teens,friends,sports",children,data/library/children_master.csv,,approved
CH044,You can be fierce without being cruel.,,Kids|Teens,Youth,Teen Confidence,Confidence & Attitude,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Confidence & Attitude,,,"teens,friends,sports",children,data/library/children_master.csv,,approved
CH045,Fair is not a favor. It is the standard.,,Kids|Teens,Youth,Justice & Equality,Justice & Equality,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Justice & Equality,,,"mixed-friends,teamwork",children,data/library/children_master.csv,,approved
CH046,Respect does not depend on gender.,,Kids|Teens,Youth,Justice & Equality,Justice & Equality,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Justice & Equality,,,"mixed-friends,teamwork",children,data/library/children_master.csv,,approved
CH047,"Stand up for what is right, even when it is not popular.",,Kids|Teens,Youth,Justice & Equality,Justice & Equality,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Justice & Equality,,,"mixed-friends,teamwork",children,data/library/children_master.csv,,approved
CH048,Nobody becomes stronger by making someone else feel smaller.,,Kids|Teens,Youth,Justice & Equality,Justice & Equality,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Justice & Equality,,,"mixed-friends,teamwork",children,data/library/children_master.csv,,approved
CH049,Equal chances make stronger teams.,,Kids|Teens,Youth,Justice & Equality,Justice & Equality,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Justice & Equality,,,"mixed-friends,teamwork",children,data/library/children_master.csv,,approved
CH050,Speak up when a joke is hurting someone.,,Kids|Teens,Youth,Justice & Equality,Justice & Equality,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Justice & Equality,,,"mixed-friends,teamwork",children,data/library/children_master.csv,,approved
CH051,Doing the right thing counts most when nobody rewards you for it.,,Kids|Teens,Youth,Justice & Equality,Justice & Equality,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Justice & Equality,,,"mixed-friends,teamwork",children,data/library/children_master.csv,,approved
CH052,Your voice can defend someone who has not found theirs yet.,,Kids|Teens,Youth,Justice & Equality,Justice & Equality,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Justice & Equality,,,"mixed-friends,teamwork",children,data/library/children_master.csv,,approved
CH053,Different does not mean less.,,Kids|Teens,Youth,Justice & Equality,Justice & Equality,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Justice & Equality,,,"mixed-friends,teamwork",children,data/library/children_master.csv,,approved
CH054,Justice begins when we stop accepting unfairness as normal.,,Kids|Teens,Youth,Justice & Equality,Justice & Equality,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Justice & Equality,,,"mixed-friends,teamwork",children,data/library/children_master.csv,,approved
CH055,Dream big enough to surprise yourself.,,Kids|Teens,Mindset,Goals,Dreams & Action,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Dreams & Action,,,"planning,desk,journey",children,data/library/children_master.csv,,approved
CH056,Your age does not make your ideas small.,,Kids|Teens,Mindset,Goals,Dreams & Action,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Dreams & Action,,,"planning,desk,journey",children,data/library/children_master.csv,,approved
CH057,Start before everyone understands your plan.,,Kids|Teens,Mindset,Goals,Dreams & Action,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Dreams & Action,,,"planning,desk,journey",children,data/library/children_master.csv,,approved
CH058,Tiny steps still move big dreams forward.,,Kids|Teens,Mindset,Goals,Dreams & Action,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Dreams & Action,,,"planning,desk,journey",children,data/library/children_master.csv,,approved
CH059,Curiosity can take you places confidence has not reached yet.,,Kids|Teens,Mindset,Goals,Dreams & Action,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Dreams & Action,,,"planning,desk,journey",children,data/library/children_master.csv,,approved
CH060,"Do the homework, take the shot, try the thing.",,Kids|Teens,Mindset,Goals,Dreams & Action,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Dreams & Action,,,"planning,desk,journey",children,data/library/children_master.csv,,approved
CH061,You do not have to know your whole future to work on today.,,Kids|Teens,Mindset,Goals,Dreams & Action,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Dreams & Action,,,"planning,desk,journey",children,data/library/children_master.csv,,approved
CH062,Your first attempt is allowed to look like a first attempt.,,Kids|Teens,Mindset,Goals,Dreams & Action,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Dreams & Action,,,"planning,desk,journey",children,data/library/children_master.csv,,approved
CH063,Go after the goal without becoming someone you do not like.,,Kids|Teens,Mindset,Goals,Dreams & Action,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Dreams & Action,,,"planning,desk,journey",children,data/library/children_master.csv,,approved
CH064,Talent gets attention. Practice builds skill.,,Kids|Teens,Mindset,Goals,Dreams & Action,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Dreams & Action,,,"planning,desk,journey",children,data/library/children_master.csv,,approved
CH065,Ask questions. Learn fast. Keep going.,,Kids|Teens,Mindset,Goals,Dreams & Action,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Dreams & Action,,,"planning,desk,journey",children,data/library/children_master.csv,,approved
CH066,"Your dream deserves effort, not pressure to be perfect.",,Kids|Teens,Mindset,Goals,Dreams & Action,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Dreams & Action,,,"planning,desk,journey",children,data/library/children_master.csv,,approved
CH067,"Rest is part of growing, not something you have to earn.",,Kids|Teens,Mindset,Peace,Peace & Balance,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Peace & Balance,,,"meditation,nature,quiet",children,data/library/children_master.csv,,approved
CH068,You can care about grades without letting grades decide your worth.,,Kids|Teens,Mindset,Peace,Peace & Balance,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Peace & Balance,,,"meditation,nature,quiet",children,data/library/children_master.csv,,approved
CH069,A peaceful mind is more important than winning every argument.,,Kids|Teens,Mindset,Peace,Peace & Balance,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Peace & Balance,,,"meditation,nature,quiet",children,data/library/children_master.csv,,approved
CH070,Put the phone down sometimes and let the day happen.,,Kids|Teens,Mindset,Peace,Peace & Balance,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Peace & Balance,,,"meditation,nature,quiet",children,data/library/children_master.csv,,approved
CH071,You are allowed to have goals and still have a childhood.,,Kids|Teens,Mindset,Peace,Peace & Balance,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Peace & Balance,,,"meditation,nature,quiet",children,data/library/children_master.csv,,approved
CH072,Busy is not the same as successful.,,Kids|Teens,Mindset,Peace,Peace & Balance,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Peace & Balance,,,"meditation,nature,quiet",children,data/library/children_master.csv,,approved
CH073,"Protect time for sleep, friends, fun, and yourself.",,Kids|Teens,Mindset,Peace,Peace & Balance,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Peace & Balance,,,"meditation,nature,quiet",children,data/library/children_master.csv,,approved
CH074,Not every message needs an immediate reply.,,Kids|Teens,Mindset,Peace,Peace & Balance,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Peace & Balance,,,"meditation,nature,quiet",children,data/library/children_master.csv,,approved
CH075,You can walk away from drama without losing.,,Kids|Teens,Mindset,Peace,Peace & Balance,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Peace & Balance,,,"meditation,nature,quiet",children,data/library/children_master.csv,,approved
CH076,Make room for silence. Your mind needs space too.,,Kids|Teens,Mindset,Peace,Peace & Balance,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Peace & Balance,,,"meditation,nature,quiet",children,data/library/children_master.csv,,approved
CH077,"Strong is something you build, not something you prove.",,Kids|Teens,Youth,Sports,Sports & Fitness,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Sports & Fitness,,,"sports,team,training",children,data/library/children_master.csv,,approved
CH078,Train because movement makes you feel alive.,,Kids|Teens,Youth,Sports,Sports & Fitness,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Sports & Fitness,,,"sports,team,training",children,data/library/children_master.csv,,approved
CH079,The scoreboard cannot measure your character.,,Kids|Teens,Youth,Sports,Sports & Fitness,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Sports & Fitness,,,"sports,team,training",children,data/library/children_master.csv,,approved
CH080,A good teammate makes everyone better.,,Kids|Teens,Youth,Sports,Sports & Fitness,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Sports & Fitness,,,"sports,team,training",children,data/library/children_master.csv,,approved
CH081,Practice the move until confidence catches up.,,Kids|Teens,Youth,Sports,Sports & Fitness,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Sports & Fitness,,,"sports,team,training",children,data/library/children_master.csv,,approved
CH082,Healthy beats perfect.,,Kids|Teens,Youth,Sports,Sports & Fitness,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Sports & Fitness,,,"sports,team,training",children,data/library/children_master.csv,,approved
CH083,"Your body deserves fuel, sleep, movement, and respect.",,Kids|Teens,Youth,Sports,Sports & Fitness,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Sports & Fitness,,,"sports,team,training",children,data/library/children_master.csv,,approved
CH084,Compete hard and shake hands after.,,Kids|Teens,Youth,Sports,Sports & Fitness,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Sports & Fitness,,,"sports,team,training",children,data/library/children_master.csv,,approved
CH085,Progress can be one faster lap or one better habit.,,Kids|Teens,Youth,Sports,Sports & Fitness,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Sports & Fitness,,,"sports,team,training",children,data/library/children_master.csv,,approved
CH086,"Fitness should make your life bigger, not your world smaller.",,Kids|Teens,Youth,Sports,Sports & Fitness,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Sports & Fitness,,,"sports,team,training",children,data/library/children_master.csv,,approved
CH087,Dance like the song picked you.,,Kids|Teens,Lifestyle,Music & Dance,Fun & Dance,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Fun & Dance,,,"music,headphones,dancing",children,data/library/children_master.csv,,approved
CH088,Being silly with the right people is a life skill.,,Kids|Teens,Lifestyle,Music & Dance,Fun & Dance,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Fun & Dance,,,"music,headphones,dancing",children,data/library/children_master.csv,,approved
CH089,Your laugh does not need to be quiet.,,Kids|Teens,Lifestyle,Music & Dance,Fun & Dance,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Fun & Dance,,,"music,headphones,dancing",children,data/library/children_master.csv,,approved
CH090,A great day can begin with one favorite song.,,Kids|Teens,Lifestyle,Music & Dance,Fun & Dance,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Fun & Dance,,,"music,headphones,dancing",children,data/library/children_master.csv,,approved
CH091,Make memories that would sound ridiculous in a serious meeting.,,Kids|Teens,Lifestyle,Music & Dance,Fun & Dance,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Fun & Dance,,,"music,headphones,dancing",children,data/library/children_master.csv,,approved
CH092,Fun is not a waste of time.,,Kids|Teens,Lifestyle,Music & Dance,Fun & Dance,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Fun & Dance,,,"music,headphones,dancing",children,data/library/children_master.csv,,approved
CH093,"Sometimes the best plan is music, friends, and no plan.",,Kids|Teens,Lifestyle,Music & Dance,Fun & Dance,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Fun & Dance,,,"music,headphones,dancing",children,data/library/children_master.csv,,approved
CH094,A peaceful heart can still be a powerful one.,,Kids|Teens,Values,Spirituality,Spirituality & Kindness,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Spirituality & Kindness,,,"meditation,prayer,nature",children,data/library/children_master.csv,,approved
CH095,Kindness is strength with good direction.,,Kids|Teens,Values,Spirituality,Spirituality & Kindness,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Spirituality & Kindness,,,"meditation,prayer,nature",children,data/library/children_master.csv,,approved
CH096,Take a quiet moment to notice what you are grateful for.,,Kids|Teens,Values,Spirituality,Spirituality & Kindness,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Spirituality & Kindness,,,"meditation,prayer,nature",children,data/library/children_master.csv,,approved
CH097,You do not have to be loud to make a difference.,,Kids|Teens,Values,Spirituality,Spirituality & Kindness,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Spirituality & Kindness,,,"meditation,prayer,nature",children,data/library/children_master.csv,,approved
CH098,Treat people well even when they cannot do anything for you.,,Kids|Teens,Values,Spirituality,Spirituality & Kindness,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Spirituality & Kindness,,,"meditation,prayer,nature",children,data/library/children_master.csv,,approved
CH099,Let your values guide you when the crowd gets noisy.,,Kids|Teens,Values,Spirituality,Spirituality & Kindness,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Spirituality & Kindness,,,"meditation,prayer,nature",children,data/library/children_master.csv,,approved
CH100,Be proud of a heart that stays kind and a mind that stays open.,,Kids|Teens,Values,Spirituality,Spirituality & Kindness,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Spirituality & Kindness,,,"meditation,prayer,nature",children,data/library/children_master.csv,,approved
MLEG001,Discipline is remembering what you wanted after the mood has changed.,,Men,Mindset,Discipline,Discipline & Action,legacy_original,,,Existing Talk N Walks production quote; preserved to keep published day numbering stable.,Discipline & Drive,,,"work,training,focus",men,data/library/men_master_part_01.csv,,approved
MLEG002,A man who keeps his word to himself becomes hard to stop.,,Men,Mindset,Discipline,Discipline & Action,legacy_original,,,Existing Talk N Walks production quote; preserved to keep published day numbering stable.,Discipline & Drive,,,"work,training,focus",men,data/library/men_master_part_01.csv,,approved
MEN001,"We spent childhood trying to grow up, then adulthood trying to remember how it felt to have nowhere urgent to be.",,Men,Family,Childhood Nostalgia,Happiness & Gratitude,original,,,Original for @talksnwalks101,Nostalgia & Childhood,,,"childhood,bicycle,school,mother-child",men,data/library/men_master_part_01.csv,,approved
MEN002,An idea becomes a business only when someone is willing to pay for the value it creates.,,Men,Business,Entrepreneurship,Dreams,original,,,Original for @talksnwalks101,Entrepreneurship,,,"startup,work,planning",men,data/library/men_master_part_01.csv,,approved
MEN003,Busy companies count activity; strong companies measure outcomes.,,Men,Business,Entrepreneurship,Dreams,original,,,Original for @talksnwalks101,Business,,,"startup,work,planning",men,data/library/men_master_part_01.csv,,approved
MEN004,The man you want to become is hidden inside the things you keep avoiding.,,Men,Mindset,Growth,Growth,original,,,Original for @talksnwalks101,Growth Mindset,,,"growth,journey,reading",men,data/library/men_master_part_01.csv,,approved
MEN005,I stopped explaining myself when I realized understanding me was optional.,,Men,Mindset,Authenticity & Identity,Self-Worth,original,,,Original for @talksnwalks101,Unapologetic,,,"confidence,alone,friends",men,data/library/men_master_part_01.csv,,approved
MEN006,"Some people mistake silence for weakness, but quiet confidence does not need to prove itself.",,Men,Mindset,Authenticity & Identity,Self-Worth,original,,,Original for @talksnwalks101,Savage & Standards,,,"confidence,alone,friends",men,data/library/men_master_part_01.csv,,approved
MEN007,Looking rich and becoming wealthy are two different hobbies.,,Men,Business,Money Mindset,Becoming,original,,,Original for @talksnwalks101,Money & Wealth,,,"finance,work,building",men,data/library/men_master_part_01.csv,,approved
MEN008,Discipline is remembering what you wanted when comfort changes the subject.,,Men,Mindset,Discipline,Discipline & Action,original,,,Original for @talksnwalks101,Discipline,,,"work,training,focus",men,data/library/men_master_part_01.csv,,approved
MEN009,Do not make your ambition smaller so other people can stay comfortable.,,Men,Business,Career,Dreams,original,,,Original for @talksnwalks101,Career & Ambition,,,"work,office,learning",men,data/library/men_master_part_01.csv,,approved
MEN010,"Train for the man you want to be at sixty, not only the man you want to photograph at thirty.",,Men,Wellness,Fitness,Growth,original,,,Original for @talksnwalks101,Fitness & Strength,,,"workout,gym,running",men,data/library/men_master_part_01.csv,,approved
MEN011,"A strong father does not only provide money; he provides safety, attention, and an example.",,Men,Family,Father,Happiness & Gratitude,original,,,Original for @talksnwalks101,Fatherhood & Family,,,"father-child,dad",men,data/library/men_master_part_01.csv,,approved
MEN012,Good male friendship does not need constant contact to contain real loyalty.,,Men,Family,Brothers,Happiness & Gratitude,original,,,Original for @talksnwalks101,Brotherhood & Friendship,,,"brothers,siblings",men,data/library/men_master_part_01.csv,,approved
MEN013,You have already survived days you once thought would break you.,,Men,Mindset,Resilience,Resilience,original,,,Original for @talksnwalks101,Failure & Resilience,,,"climbing,walking,alone",men,data/library/men_master_part_01.csv,,approved
MEN014,Success is more sustainable when it does not require losing yourself.,,Men,Mindset,Purpose & Meaning,Dreams,original,,,Original for @talksnwalks101,Success & Legacy,,,"journey,work,reading",men,data/library/men_master_part_01.csv,,approved
