QuoteID,Quote,Audience,Topic,Theme,SourceType,InspiredBy,Author,OriginalTheme
WEMP218,Play bigger by becoming more loyal to purpose than to being liked.,Women,Purpose & Meaning,Becoming,inspired_by,Playing Big,Tara Mohr,Calling & Inner Critic
WEMP219,Your career should not depend on being the most agreeable person in every room.,Women,Career,Dreams,inspired_by,Nice Girls Don't Get the Corner Office,Lois P. Frankel,Workplace Power
WEMP220,Use your strengths strategically instead of spending energy imitating someone else's leadership style.,Women,Money Mindset,Dreams,inspired_by,Own It,Sallie Krawcheck,"Women, Work & Financial Power"
WEMP221,Investing belongs in women's conversations about freedom.,Women,Money Mindset,Dreams,inspired_by,Financial Feminist,Tori Dunlap,Money & Independence
WEMP222,"Price your expertise with the future of your business in mind, not only the comfort of the buyer.",Women,Money Mindset,Dreams,inspired_by,We Should All Be Millionaires,Rachel Rodgers,Wealth & Economic Power
WEMP223,"Build credit, savings, insurance, investing, and budgeting as parts of one life—not separate emergencies.",Women,Money Mindset,Dreams,inspired_by,Get Good with Money,Tiffany Aliche,Financial Security & Systems
WEMP224,Learn the negotiation skills that turn expertise into compensation.,Women,Authenticity & Identity,Self-Worth,inspired_by,Secrets of Six-Figure Women,Barbara Huson,Earning & Self-Worth
WEMP225,Your voice gets stronger when you use it before you feel elegant.,Women,Courage,Courage,inspired_by,Year of Yes,Shonda Rhimes,Courage & Visibility
WEMP226,Curiosity is often a gentler and more reliable guide than pressure to find one grand passion.,Women,Growth,Growth,inspired_by,Big Magic,Elizabeth Gilbert,Creativity & Permission
WEMP227,Confidence grows when belief is followed by movement.,Women,Self-Belief,Believe in Yourself,inspired_by,You Are a Badass,Jen Sincero,Self-Belief & Action
WEMP228,Courage can begin before your mind has finished writing the excuse.,Women,Courage,Courage,inspired_by,The 5 Second Rule,Mel Robbins,Action & Courage
WEMP229,Stop forcing reciprocity from relationships that keep showing you their limits.,Women,Peace,Peace & Letting Go,inspired_by,The Let Them Theory,Mel Robbins & Sawyer Robbins,Detachment & Boundaries
WEMP230,Perfectionism protects an image while often suffocating growth.,Women,Courage,Courage,inspired_by,Daring Greatly,Brené Brown,Vulnerability & Courage
WEMP231,Do not confuse emotional armour with executive presence.,Women,Leadership,Peace & Letting Go,inspired_by,Dare to Lead,Brené Brown,Brave Leadership
WEMP232,Self-compassion makes change more sustainable than constant self-attack.,Women,Authenticity & Identity,Self-Worth,inspired_by,The Gifts of Imperfection,Brené Brown,Authenticity & Worthiness
WEMP233,Listen across differences without surrendering your own humanity or principles.,Women,Authenticity & Identity,Self-Worth,inspired_by,Braving the Wilderness,Brené Brown,Belonging & Conviction
WEMP234,Stop over-explaining the limits you have already decided are necessary.,Women,Peace,Peace & Letting Go,inspired_by,"Set Boundaries, Find Peace",Nedra Glover Tawwab,Boundaries & Peace
WEMP235,Self-awareness becomes empowerment only when it changes the next decision.,Women,Mental Health,Growth,inspired_by,The Mountain Is You,Brianna Wiest,Healing & Self-Sabotage
WEMP236,Create a home and routine that remind you that you matter.,Women,Rest & Recovery,Discipline & Action,inspired_by,Buy Yourself the F*cking Lilies,Tara Schuster,Self-Care & Self-Respect
WEMP237,Celebrate another woman's success without treating it as evidence that your chance disappeared.,Women,Friendship,Dreams,inspired_by,Wolfpack,Abby Wambach,Teamwork & Women's Leadership
WEMP238,Make room for silence before constant urgency becomes your personality.,Women,Rest & Recovery,Peace & Letting Go,inspired_by,Thrive,Arianna Huffington,Well-Being & Success
WEMP239,Ask for help specifically; people often care but do not know what would actually help.,Women,Resilience,Resilience,inspired_by,Option B,Sheryl Sandberg & Adam Grant,Resilience & Recovery
WEMP240,Your story can become a source of wisdom without remaining a source of shame.,Women,Authenticity & Identity,Self-Worth,inspired_by,What I Know for Sure,Oprah Winfrey,Self-Worth & Wisdom
WEMP241,Do not confuse other people's urgency with your calling.,Women,Purpose & Meaning,Dreams,inspired_by,The Path Made Clear,Oprah Winfrey,Purpose & Direction
WEMP242,Love grows where truth can be spoken without fear.,Women,Love,Self-Worth,inspired_by,All About Love,bell hooks,Love & Self-Respect
WEMP243,"Your wildness can mean intuition, imagination, vitality, and truth—not chaos.",Women,Authenticity & Identity,Growth,inspired_by,Women Who Run With the Wolves,Clarissa Pinkola Estés,Instinct & Inner Life
WEMP244,Make room for your ideas before everyone else's needs consume the entire day.,Women,Authenticity & Identity,Growth,inspired_by,A Room of One's Own,Virginia Woolf,Independence & Creative Freedom
WEMP245,"Teach girls to build character, competence, and independence rather than decorative helplessness.",Women,Justice & Equality,Self-Worth,inspired_by,A Vindication of the Rights of Woman,Mary Wollstonecraft,Education & Equality
WEMP246,Build networks where information travels and people understand the larger purpose.,Women,Fitness,Dreams,inspired_by,The Female Advantage,Sally Helgesen,Women & Leadership Strengths
WEMP247,Challenge ideas without reducing the human being who offered them.,Women,Communication & Social Skills,Dreams,inspired_by,Radical Candor,Kim Scott,Communication & Leadership
WEMP248,Freedom is rarely handed down; people organize it into existence.,Women,Justice & Equality,Growth,inspired_by,My Life on the Road,Gloria Steinem,Activism & Listening
WEMP249,Women's everyday experiences belong in the evidence used to design public life.,Women,Justice & Equality,Self-Worth,inspired_by,Invisible Women,Caroline Criado Perez,"Data, Design & Equality"
WEMP250,Women deserve room to be complicated rather than exemplary representatives of an entire gender.,Women,Justice & Equality,Self-Worth,inspired_by,Bad Feminist,Roxane Gay,Imperfect Feminism & Culture
WEMP251,"Choose partners, mentors, and workplaces that do not require your success to apologize for itself.",Women,Leadership,Dreams,inspired_by,Lean In,Sheryl Sandberg,Career & Leadership
WEMP252,Your life becomes yours when obedience is no longer mistaken for goodness.,Women,Authenticity & Identity,Self-Worth,inspired_by,Untamed,Glennon Doyle,Authenticity & Freedom
WEMP253,"Achievement matters, but becoming the woman you respect matters more.",Women,Authenticity & Identity,Becoming,inspired_by,Becoming,Michelle Obama,Identity & Becoming
WEMP254,Uncertainty is not a command to disappear; sometimes it is an invitation to rely on what you know about yourself.,Women,Fitness,Believe in Yourself,inspired_by,The Light We Carry,Michelle Obama,Confidence & Inner Strength
WEMP255,Challenge traditions that survive only because nobody is allowed to question who benefits from them.,Women,Justice & Equality,Self-Worth,inspired_by,We Should All Be Feminists,Chimamanda Ngozi Adichie,Equality & Voice
WEMP256,"Let curiosity, sport, science, leadership, softness, and strength all belong to her.",Women,Growth,Dreams,inspired_by,"Dear Ijeawele, or A Feminist Manifesto in Fifteen Suggestions",Chimamanda Ngozi Adichie,Raising Empowered Girls
WEMP257,Redefine power so participation does not require women to erase themselves first.,Women,Justice & Equality,Self-Worth,inspired_by,Women & Power,Mary Beard,Power & Public Voice
WEMP258,Power becomes healthier when women are not treated as unusual guests in leadership.,Women,Justice & Equality,Dreams,inspired_by,Women and Leadership,Julia Gillard & Ngozi Okonjo-Iweala,Leadership & Gender Bias
WEMP259,Unpaid care becomes an equality issue when it quietly consumes one gender's time and opportunity.,Women,Justice & Equality,Self-Worth,inspired_by,The Moment of Lift,Melinda French Gates,Global Equality & Opportunity
WEMP260,Do not underestimate a young woman's ability to understand what freedom should look like.,Women,Study & Learning,Peace & Letting Go,inspired_by,I Am Malala,Malala Yousafzai & Christina Lamb,Education & Courage
WEMP261,Knowledge can widen the distance between what you were told and what you now know to be possible.,Women,Study & Learning,Becoming,inspired_by,Educated,Tara Westover,Education & Self-Invention
WEMP262,"Justice begins with treating a woman as a whole human being, not as evidence in someone else's story.",Women,Justice & Equality,Self-Worth,inspired_by,Know My Name,Chanel Miller,"Voice, Dignity & Survival"
WEMP263,Listen beyond the women who already have microphones.,Women,Justice & Equality,Self-Worth,inspired_by,Hood Feminism,Mikki Kendall,Intersectional Feminism
WEMP264,Beauty standards become less powerful when they stop being treated as moral standards.,Women,Love,Self-Worth,inspired_by,The Body Is Not an Apology,Sonya Renee Taylor,Body Respect & Self-Love
WEMP265,You can be grateful for an opportunity and still demand better from the institution that gave it.,Women,Goals,Dreams,inspired_by,More Than Enough,Elaine Welteroth,Worth & Ambition
WEMP266,"Confidence is built by doing, adjusting, and doing again.",Women,Self-Belief,Believe in Yourself,inspired_by,The Confidence Code,Katty Kay & Claire Shipman,Confidence & Action
WEMP267,Credit your team without erasing your own role in the result.,Women,Career,Discipline & Action,inspired_by,How Women Rise,Sally Helgesen & Marshall Goldsmith,Career Growth & Habits
WEMP268,Your gifts cannot serve anyone while they remain hidden behind endless preparation.,Women,Purpose & Meaning,Dreams,inspired_by,Playing Big,Tara Mohr,Calling & Inner Critic
WEMP269,"Learn which behaviours are rewarded, then decide deliberately which ones serve your values.",Women,Career,Growth,inspired_by,Nice Girls Don't Get the Corner Office,Lois P. Frankel,Workplace Power
WEMP270,Financial independence changes the quality of every professional choice.,Women,Money Mindset,Dreams,inspired_by,Own It,Sallie Krawcheck,"Women, Work & Financial Power"
WEMP271,Your money decisions can reflect your values without requiring financial perfection.,Women,Money Mindset,Dreams,inspired_by,Financial Feminist,Tori Dunlap,Money & Independence
WEMP272,"Economic power gives women more room to choose, leave, invest, create, and support.",Women,Money Mindset,Dreams,inspired_by,We Should All Be Millionaires,Rachel Rodgers,Wealth & Economic Power
WEMP273,Money becomes less frightening when you replace avoidance with a sequence of manageable steps.,Women,Money Mindset,Dreams,inspired_by,Get Good with Money,Tiffany Aliche,Financial Security & Systems
WEMP274,Surround yourself with people who normalize women earning well.,Women,Authenticity & Identity,Self-Worth,inspired_by,Secrets of Six-Figure Women,Barbara Huson,Earning & Self-Worth
WEMP275,"Success should expand your life, not turn you into a prisoner of obligation.",Women,Courage,Courage,inspired_by,Year of Yes,Shonda Rhimes,Courage & Visibility
WEMP276,Make the thing badly enough to discover how you want to make it better.,Women,Growth,Growth,inspired_by,Big Magic,Elizabeth Gilbert,Creativity & Permission
WEMP277,Your excuses deserve less loyalty than your goals.,Women,Self-Belief,Believe in Yourself,inspired_by,You Are a Badass,Jen Sincero,Self-Belief & Action
WEMP278,The first move matters because momentum needs somewhere to start.,Women,Courage,Courage,inspired_by,The 5 Second Rule,Mel Robbins,Action & Courage
WEMP279,Acceptance of reality gives you more power than constant resistance to someone else's behaviour.,Women,Peace,Peace & Letting Go,inspired_by,The Let Them Theory,Mel Robbins & Sawyer Robbins,Detachment & Boundaries
WEMP280,Name the fear so it does not get to run the room anonymously.,Women,Courage,Courage,inspired_by,Daring Greatly,Brené Brown,Vulnerability & Courage
WEMP281,Leadership requires the courage to hear truths that flatter neither you nor the organization.,Women,Leadership,Discipline & Action,inspired_by,Dare to Lead,Brené Brown,Brave Leadership
WEMP282,Stop using productivity as proof that you deserve to feel good about yourself.,Women,Authenticity & Identity,Discipline & Action,inspired_by,The Gifts of Imperfection,Brené Brown,Authenticity & Worthiness
WEMP283,Belong to yourself strongly enough that disagreement does not erase you.,Women,Authenticity & Identity,Self-Worth,inspired_by,Braving the Wilderness,Brené Brown,Belonging & Conviction
WEMP284,Peace often begins when your yes becomes trustworthy because your no is allowed to exist.,Women,Peace,Peace & Letting Go,inspired_by,"Set Boundaries, Find Peace",Nedra Glover Tawwab,Boundaries & Peace
WEMP285,You may be both the obstacle and the person capable of removing it.,Women,Mental Health,Growth,inspired_by,The Mountain Is You,Brianna Wiest,Healing & Self-Sabotage
WEMP286,Stop saving kindness for the version of you who finally gets everything right.,Women,Rest & Recovery,Peace & Letting Go,inspired_by,Buy Yourself the F*cking Lilies,Tara Schuster,Self-Care & Self-Respect
WEMP287,Use your voice after victory and after loss; both reveal leadership.,Women,Friendship,Self-Worth,inspired_by,Wolfpack,Abby Wambach,Teamwork & Women's Leadership
WEMP288,Redefine success so it includes the life you are actually awake enough to experience.,Women,Rest & Recovery,Peace & Letting Go,inspired_by,Thrive,Arianna Huffington,Well-Being & Success
WEMP289,"Hardship changes a woman, but it does not get exclusive authorship of her future.",Women,Resilience,Resilience,inspired_by,Option B,Sheryl Sandberg & Adam Grant,Resilience & Recovery
WEMP290,Choose relationships that allow your spirit to expand instead of constantly defend itself.,Women,Authenticity & Identity,Self-Worth,inspired_by,What I Know for Sure,Oprah Winfrey,Self-Worth & Wisdom
WEMP291,Your life can change direction without meaning the earlier path was wasted.,Women,Purpose & Meaning,Dreams,inspired_by,The Path Made Clear,Oprah Winfrey,Purpose & Direction
WEMP292,"Do not confuse attachment, possession, or longing with genuine care.",Women,Love,Self-Worth,inspired_by,All About Love,bell hooks,Love & Self-Respect
WEMP293,Make room for solitude that lets you hear yourself beneath the roles you perform.,Women,Authenticity & Identity,Growth,inspired_by,Women Who Run With the Wolves,Clarissa Pinkola Estés,Instinct & Inner Life
WEMP294,A woman's voice becomes easier to develop when interruption is not her permanent environment.,Women,Authenticity & Identity,Self-Worth,inspired_by,A Room of One's Own,Virginia Woolf,Independence & Creative Freedom
WEMP295,A woman who can support and govern herself is not a threat to society; she strengthens it.,Women,Justice & Equality,Self-Worth,inspired_by,A Vindication of the Rights of Woman,Mary Wollstonecraft,Education & Equality
WEMP296,Leadership becomes stronger when empathy and execution are treated as partners.,Women,Fitness,Discipline & Action,inspired_by,The Female Advantage,Sally Helgesen,Women & Leadership Strengths
WEMP297,Strong management requires both genuine care and honest standards.,Women,Communication & Social Skills,Self-Worth,inspired_by,Radical Candor,Kim Scott,Communication & Leadership
WEMP298,Stay curious enough that activism does not become certainty without contact.,Women,Justice & Equality,Growth,inspired_by,My Life on the Road,Gloria Steinem,Activism & Listening
WEMP299,Bias can survive without bad intentions when the information itself is incomplete.,Women,Justice & Equality,Self-Worth,inspired_by,Invisible Women,Caroline Criado Perez,"Data, Design & Equality"
WEMP300,Question the stories culture tells about whose pain matters and whose desire is acceptable.,Women,Justice & Equality,Self-Worth,inspired_by,Bad Feminist,Roxane Gay,Imperfect Feminism & Culture
