QuoteID,Quote,Audience,Topic,Theme,SourceType,InspiredBy,Author,OriginalTheme
UC093,"Love should be felt while people are here, not only remembered after they are gone.",All,Love,Happiness & Gratitude,adapted,User submission,,Love
UC094,"Happiness is less about getting everything you want and more about appreciating what is already yours.",All,Happiness,Happiness & Gratitude,adapted,User submission,,Happiness
UC095,"Some days feel like your life was written by someone still deciding whether the plot likes you.",All,Funny & Relatable,Growth,adapted,User submission,,Relatable
UC096,"Understanding more can sometimes make the world feel heavier. Wisdom also means learning how to carry what you know.",All,Mental Health,Growth,adapted,User submission,,Sadness and intelligence
UC097,"Somewhere in a library is a sentence that may answer a question you have carried for years.",All,Reading & Books,Growth,inspired_by,Lemony Snicket idea,,Libraries
UC098,"Sometimes we break our own rules because someone feels worth the risk.",All,Love,Growth,adapted,User submission,,Love and risk
UC099,"Some people are rare because of the goodness they carry, not the way they look.",All,Kindness,Happiness & Gratitude,adapted,User submission,,Good-hearted people
UC100,"You do not always owe a long explanation for leaving a pattern that already explained itself.",All,Peace,Peace & Letting Go,adapted,User submission,,Cutting ties
UC101,"It is okay if everyone does not like you. Universal approval was never the goal.",All,Authenticity & Identity,Self-Worth,adapted,User submission,,Self-confidence
UC102,"Thoughts can argue forever; emotions often reveal what still needs attention.",All,Mental Health,Growth,adapted,User submission,,Thoughts and emotions
UC103,"Let go of people who repeatedly make you dislike your own life.",All,Relationships,Peace & Letting Go,adapted,User submission,,Letting go
UC104,"The right people make it safer to take off the mask and return to who you really are.",All,Authenticity & Identity,Self-Worth,adapted,User submission,,Authenticity
UC105,"Hey fighter, stay with it. This season will not last forever.",All,Resilience,Keep Going,adapted,User submission,,Stay strong
UC106,"People can copy your process without being able to copy what makes it yours.",All,Authenticity & Identity,Self-Belief,adapted,User submission,,Originality
UC107,"No matter how badly someone treats you, protect your standards and walk away without becoming like them.",All,Integrity & Character,Self-Worth,adapted,User submission,,Standards
UC108,"Be grateful for every distance you traveled to find your way back to yourself.",All,Growth,Becoming,adapted,User submission,,Finding yourself
UC109,"Education and self-respect are two things you never need to apologize for carrying proudly.",All,Study & Learning,Self-Belief,adapted,User submission,,Education
UC110,"Even if I were one voice among millions who loved you, I would still choose to make that love count while I am here.",All,Love,Happiness & Gratitude,adapted,User submission,,Devotion
