QuoteID,Quote,Audience,Topic,Theme,SourceType,InspiredBy,Author,OriginalTheme
WEMP319,"Competence needs boundaries, visibility, negotiation, and political awareness to become influence.",Women,Career,Peace & Letting Go,inspired_by,Nice Girls Don't Get the Corner Office,Lois P. Frankel,Workplace Power
WEMP320,Own your ambition before the workplace decides how much ambition looks acceptable on a woman.,Women,Money Mindset,Dreams,inspired_by,Own It,Sallie Krawcheck,"Women, Work & Financial Power"
WEMP321,Shame makes money harder to manage; knowledge makes it easier to change.,Women,Money Mindset,Dreams,inspired_by,Financial Feminist,Tori Dunlap,Money & Independence
WEMP322,Build wealth loudly enough in your own mind that scarcity stops being the only respectable story.,Women,Money Mindset,Dreams,inspired_by,We Should All Be Millionaires,Rachel Rodgers,Wealth & Economic Power
WEMP323,Financial wholeness is not about looking rich; it is about becoming harder to destabilize.,Women,Money Mindset,Becoming,inspired_by,Get Good with Money,Tiffany Aliche,Financial Security & Systems
WEMP324,Your earning ceiling deserves examination whenever it is being held up by fear rather than market value.,Women,Authenticity & Identity,Self-Worth,inspired_by,Secrets of Six-Figure Women,Barbara Huson,Earning & Self-Worth
WEMP325,Sometimes transformation begins by saying yes to yourself and no to everyone else's access.,Women,Courage,Courage,inspired_by,Year of Yes,Shonda Rhimes,Courage & Visibility
WEMP326,"Your creativity is allowed to be joyful, impractical, ambitious, private, or public.",Women,Growth,Happiness & Gratitude,inspired_by,Big Magic,Elizabeth Gilbert,Creativity & Permission
WEMP327,Act like your future is worth inconveniencing your current habits for.,Women,Self-Belief,Discipline & Action,inspired_by,You Are a Badass,Jen Sincero,Self-Belief & Action
WEMP328,"Women do not need to feel fearless before they speak, apply, leave, ask, or begin.",Women,Courage,Courage,inspired_by,The 5 Second Rule,Mel Robbins,Action & Courage
WEMP329,"Return your attention to what you can choose, change, build, or leave.",Women,Peace,Peace & Letting Go,inspired_by,The Let Them Theory,Mel Robbins & Sawyer Robbins,Detachment & Boundaries
WEMP330,Women can be strong without becoming emotionally unreachable.,Women,Courage,Courage,inspired_by,Daring Greatly,Brené Brown,Vulnerability & Courage
WEMP331,Create teams where people can speak before problems become expensive.,Women,Leadership,Courage,inspired_by,Dare to Lead,Brené Brown,Brave Leadership
WEMP332,Authenticity is choosing to be known instead of endlessly managed.,Women,Authenticity & Identity,Self-Worth,inspired_by,The Gifts of Imperfection,Brené Brown,Authenticity & Worthiness
WEMP333,Women can seek community without making conformity the entrance fee.,Women,Authenticity & Identity,Self-Worth,inspired_by,Braving the Wilderness,Brené Brown,Belonging & Conviction
WEMP334,Boundaries protect relationships from the resentment created by silent overgiving.,Women,Peace,Peace & Letting Go,inspired_by,"Set Boundaries, Find Peace",Nedra Glover Tawwab,Boundaries & Peace
WEMP335,Healing often looks like responding differently to the same situation.,Women,Mental Health,Growth,inspired_by,The Mountain Is You,Brianna Wiest,Healing & Self-Sabotage
WEMP336,Romance your own life enough that loneliness is not confused with lack of worth.,Women,Rest & Recovery,Peace & Letting Go,inspired_by,Buy Yourself the F*cking Lilies,Tara Schuster,Self-Care & Self-Respect
WEMP337,Your power multiplies when it helps other women become powerful too.,Women,Friendship,Dreams,inspired_by,Wolfpack,Abby Wambach,Teamwork & Women's Leadership
WEMP338,Well-being is not the opposite of performance; it can be what keeps performance sustainable.,Women,Rest & Recovery,Discipline & Action,inspired_by,Thrive,Arianna Huffington,Well-Being & Success
WEMP339,Hope can return slowly and still be real.,Women,Resilience,Resilience,inspired_by,Option B,Sheryl Sandberg & Adam Grant,Resilience & Recovery
WEMP340,Success means less when you are disconnected from yourself.,Women,Authenticity & Identity,Self-Worth,inspired_by,What I Know for Sure,Oprah Winfrey,Self-Worth & Wisdom
WEMP341,"Purpose is often built through contribution, not discovered as one dramatic answer.",Women,Purpose & Meaning,Dreams,inspired_by,The Path Made Clear,Oprah Winfrey,Purpose & Direction
WEMP342,"Choosing love requires standards, not the abandonment of them.",Women,Love,Self-Worth,inspired_by,All About Love,bell hooks,Love & Self-Respect
WEMP343,Women need stories that remind them they belong to themselves.,Women,Authenticity & Identity,Growth,inspired_by,Women Who Run With the Wolves,Clarissa Pinkola Estés,Instinct & Inner Life
WEMP344,Independence gives imagination somewhere to live.,Women,Authenticity & Identity,Growth,inspired_by,A Room of One's Own,Virginia Woolf,Independence & Creative Freedom
WEMP345,Respect between women and men requires education that prepares both for freedom.,Women,Justice & Equality,Self-Worth,inspired_by,A Vindication of the Rights of Woman,Mary Wollstonecraft,Education & Equality
WEMP346,Do not confuse a different style of leadership with a lesser one.,Women,Fitness,Dreams,inspired_by,The Female Advantage,Sally Helgesen,Women & Leadership Strengths
WEMP347,Clear expectations prevent resentment from becoming a management system.,Women,Communication & Social Skills,Becoming,inspired_by,Radical Candor,Kim Scott,Communication & Leadership
WEMP348,"Women's movements become stronger when connection crosses geography, race, class, and generation.",Women,Justice & Equality,Growth,inspired_by,My Life on the Road,Gloria Steinem,Activism & Listening
WEMP349,Equality requires counting women clearly enough that their needs cannot remain statistically invisible.,Women,Justice & Equality,Self-Worth,inspired_by,Invisible Women,Caroline Criado Perez,"Data, Design & Equality"
WEMP350,A movement can improve when its supporters are honest about both their values and their inconsistencies.,Women,Justice & Equality,Self-Worth,inspired_by,Bad Feminist,Roxane Gay,Imperfect Feminism & Culture
WEMP351,"Your professional life deserves intentional choices, not automatic surrender to expectations.",Women,Leadership,Dreams,inspired_by,Lean In,Sheryl Sandberg,Career & Leadership
WEMP352,"Becoming yourself may cost approval, but pretending costs far more over time.",Women,Authenticity & Identity,Self-Worth,inspired_by,Untamed,Glennon Doyle,Authenticity & Freedom
WEMP353,"Keep evolving after the title, the applause, and the milestone.",Women,Authenticity & Identity,Becoming,inspired_by,Becoming,Michelle Obama,Identity & Becoming
WEMP354,Hold onto the people and practices that help you remember who you are.,Women,Fitness,Believe in Yourself,inspired_by,The Light We Carry,Michelle Obama,Confidence & Inner Strength
WEMP355,"Feminism is strongest when freedom is treated as a human expectation, not a special request.",Women,Justice & Equality,Self-Worth,inspired_by,We Should All Be Feminists,Chimamanda Ngozi Adichie,Equality & Voice
WEMP356,Give girls examples of women who chose many different ways to live meaningful lives.,Women,Growth,Dreams,inspired_by,"Dear Ijeawele, or A Feminist Manifesto in Fifteen Suggestions",Chimamanda Ngozi Adichie,Raising Empowered Girls
WEMP357,Taking women seriously means changing the image of what authority is allowed to look like.,Women,Justice & Equality,Self-Worth,inspired_by,Women & Power,Mary Beard,Power & Public Voice
WEMP358,Leadership equality is not achieved by teaching women to tolerate more bias; institutions must change too.,Women,Justice & Equality,Self-Worth,inspired_by,Women and Leadership,Julia Gillard & Ngozi Okonjo-Iweala,Leadership & Gender Bias
WEMP359,"Lift women with resources and agency, not only admiration.",Women,Justice & Equality,Self-Worth,inspired_by,The Moment of Lift,Melinda French Gates,Global Equality & Opportunity
WEMP360,Defend every girl's right to imagine a future larger than the one assigned to her.,Women,Study & Learning,Courage,inspired_by,I Am Malala,Malala Yousafzai & Christina Lamb,Education & Courage
WEMP361,A woman can build a new life without pretending the old one never shaped her.,Women,Study & Learning,Becoming,inspired_by,Educated,Tara Westover,Education & Self-Invention
WEMP362,A woman's voice after harm is not an inconvenience; it is part of restoring dignity.,Women,Justice & Equality,Peace & Letting Go,inspired_by,Know My Name,Chanel Miller,"Voice, Dignity & Survival"
WEMP363,A movement for women should be judged by how it treats those with the least institutional power.,Women,Justice & Equality,Self-Worth,inspired_by,Hood Feminism,Mikki Kendall,Intersectional Feminism
WEMP364,Make peace with taking up physical space before the world asks you to disappear inside it.,Women,Love,Peace & Letting Go,inspired_by,The Body Is Not an Apology,Sonya Renee Taylor,Body Respect & Self-Love
WEMP365,Claim enoughness before another achievement tries to sell it back to you.,Women,Goals,Dreams,inspired_by,More Than Enough,Elaine Welteroth,Worth & Ambition
