QuoteID,Quote,Audience,Topic,Theme,SourceType,InspiredBy,Author,OriginalTheme
SG133,Clarity reduces the mental weight of unfinished obligations.,All,Execution,Discipline & Action,inspired_by,Getting Things Done,David Allen,Organization & Execution
SG134,Decide the next physical step before a project becomes intimidating.,All,Execution,Discipline & Action,inspired_by,Getting Things Done,David Allen,Organization & Execution
SG135,Long-term effort can matter more than early brilliance.,All,Resilience,Resilience,inspired_by,Grit,Angela Duckworth,Perseverance & Skill
SG136,Passion becomes powerful when it survives boredom and repetition.,All,Resilience,Resilience,inspired_by,Grit,Angela Duckworth,Perseverance & Skill
SG137,Practice improves when it targets weaknesses instead of only repeating strengths.,All,Resilience,Resilience,inspired_by,Grit,Angela Duckworth,Perseverance & Skill
SG138,Persistence is easier when the goal connects to something larger than ego.,All,Resilience,Resilience,inspired_by,Grit,Angela Duckworth,Perseverance & Skill
SG139,Talent opens a door; sustained effort determines how far you walk.,All,Resilience,Resilience,inspired_by,Grit,Angela Duckworth,Perseverance & Skill
SG140,Do not confuse a difficult season with a wrong purpose.,All,Resilience,Resilience,inspired_by,Grit,Angela Duckworth,Perseverance & Skill
SG141,Consistency over years can create advantages that intensity over weeks cannot.,All,Resilience,Discipline & Action,inspired_by,Grit,Angela Duckworth,Perseverance & Skill
SG142,Courage often begins where the possibility of embarrassment appears.,All,Courage,Courage,inspired_by,Daring Greatly,Brené Brown,Vulnerability & Courage
SG143,Vulnerability is not the absence of strength; it is strength without armour.,All,Courage,Courage,inspired_by,Daring Greatly,Brené Brown,Vulnerability & Courage
SG144,Connection becomes deeper when performance stops controlling every conversation.,All,Courage,Discipline & Action,inspired_by,Daring Greatly,Brené Brown,Vulnerability & Courage
SG145,Shame loses some power when it is met with honest language and safe people.,All,Courage,Courage,inspired_by,Daring Greatly,Brené Brown,Vulnerability & Courage
SG146,Do not wait to feel invulnerable before doing something brave.,All,Courage,Courage,inspired_by,Daring Greatly,Brené Brown,Vulnerability & Courage
SG147,"Being seen honestly is riskier than being impressive, but often far more meaningful.",All,Courage,Courage,inspired_by,Daring Greatly,Brené Brown,Vulnerability & Courage
SG148,Wholehearted living requires the courage to be imperfect in public.,All,Courage,Courage,inspired_by,Daring Greatly,Brené Brown,Vulnerability & Courage
SG149,Leadership begins when difficult conversations stop being postponed.,All,Leadership,Courage,inspired_by,Dare to Lead,Brené Brown,Leadership & Courage
SG150,Clear expectations are kinder than avoidable confusion.,All,Leadership,Courage,inspired_by,Dare to Lead,Brené Brown,Leadership & Courage
