QuoteID,Quote,Audience,Topic,Theme,SourceType,InspiredBy,Author,AttributionNote,OriginalTheme,SourceURL
MEN327,Ask 'What will produce this?' before asking 'How can I buy this?',Men,Money Mindset,Dreams,original,,,Original for @talksnwalks101,Money & Wealth,
MEN328,You do not need more time; you may need fewer leaks.,Men,Discipline,Discipline & Action,original,,,Original for @talksnwalks101,Discipline,
MEN329,"Take the role that expands your capability, not only your business card.",Men,Career,Dreams,original,,,Original for @talksnwalks101,Career & Ambition,
MEN330,Strength without mobility is a future argument with your joints.,Men,Fitness,Growth,original,,,Original for @talksnwalks101,Fitness & Strength,
MEN331,"Back then, friendship needed a bicycle and permission to stay out until dinner.",Men,Childhood Nostalgia,Happiness & Gratitude,original,,,Original for @talksnwalks101,Nostalgia & Childhood,
MEN332,The first milestone is not funding; it is proof that someone cares.,Men,Entrepreneurship,Dreams,original,,,Original for @talksnwalks101,Entrepreneurship,
MEN333,"Reputation compounds just like money, and so does distrust.",Men,Entrepreneurship,Dreams,original,,,Original for @talksnwalks101,Business,
MEN334,Ask better questions and your life will eventually produce better answers.,Men,Growth,Growth,original,,,Original for @talksnwalks101,Growth Mindset,
MEN335,Money magnifies habits long before it magnifies lifestyle.,Men,Money Mindset,Discipline & Action,original,,,Original for @talksnwalks101,Money & Wealth,
MEN336,Make the good decision automatic before the difficult day arrives.,Men,Discipline,Discipline & Action,original,,,Original for @talksnwalks101,Discipline,
MEN337,The last bench held more dreams than many boardrooms ever will.,Men,Childhood Nostalgia,Happiness & Gratitude,original,,,Original for @talksnwalks101,Nostalgia & Childhood,
MEN338,A business can survive an imperfect logo. It cannot survive permanent irrelevance.,Men,Entrepreneurship,Dreams,original,,,Original for @talksnwalks101,Entrepreneurship,
MEN339,"A meeting is not progress unless a decision, action, or learning comes out of it.",Men,Entrepreneurship,Dreams,original,,,Original for @talksnwalks101,Business,
MEN340,Maturity is being able to learn from someone you do not want to imitate.,Men,Growth,Growth,original,,,Original for @talksnwalks101,Growth Mindset,
MEN341,One disciplined decade can change the financial direction of a family.,Men,Money Mindset,Discipline & Action,original,,,Original for @talksnwalks101,Money & Wealth,
MEN342,Training your attention is as important as training your body.,Men,Discipline,Discipline & Action,original,,,Original for @talksnwalks101,Discipline,
MEN343,A childhood nickname can make forty-year-old men become ten years old again.,Men,Childhood Nostalgia,Happiness & Gratitude,original,,,Original for @talksnwalks101,Nostalgia & Childhood,
MEN344,Entrepreneurship rewards people who stay curious after everyone else stops being excited.,Men,Entrepreneurship,Dreams,original,,,Original for @talksnwalks101,Entrepreneurship,
MEN345,Your business becomes scalable when knowledge stops living in one person's head.,Men,Entrepreneurship,Dreams,original,,,Original for @talksnwalks101,Business,
MEN346,Keep the lesson; drop the shame.,Men,Growth,Growth,original,,,Original for @talksnwalks101,Growth Mindset,
MEN347,Build wealth quietly enough that your future speaks louder than your purchases.,Men,Money Mindset,Dreams,original,,,Original for @talksnwalks101,Money & Wealth,
MEN348,Success often looks like doing the same useful thing after it stopped feeling exciting.,Men,Discipline,Discipline & Action,original,,,Original for @talksnwalks101,Discipline,
MEN349,Some cousins were our first best friends before life scattered everyone into different cities.,Men,Childhood Nostalgia,Happiness & Gratitude,original,,,Original for @talksnwalks101,Nostalgia & Childhood,
MEN350,"Build the machine, not just another job with your name on it.",Men,Entrepreneurship,Dreams,original,,,Original for @talksnwalks101,Entrepreneurship,
MEN351,Good leaders ask what must be true for the plan to work.,Men,Entrepreneurship,Dreams,original,,,Original for @talksnwalks101,Business,
MEN352,Your potential does not need praise; it needs training.,Men,Growth,Growth,original,,,Original for @talksnwalks101,Growth Mindset,
MEN353,"Before buying the watch, build the portfolio that could buy the watch without noticing.",Men,Money Mindset,Dreams,original,,,Original for @talksnwalks101,Money & Wealth,
MEN354,Hard work without direction is exhaustion wearing a respectable outfit.,Men,Discipline,Discipline & Action,original,,,Original for @talksnwalks101,Discipline,
MEN355,We once waited all week for one television show and somehow called that entertainment.,Men,Childhood Nostalgia,Happiness & Gratitude,original,,,Original for @talksnwalks101,Nostalgia & Childhood,
MEN356,The founder who learns fastest can outrun the founder who merely starts first.,Men,Entrepreneurship,Dreams,original,,,Original for @talksnwalks101,Entrepreneurship,
MEN357,"The market is an unforgiving teacher, but its feedback is usually useful.",Men,Entrepreneurship,Dreams,original,,,Original for @talksnwalks101,Business,
MEN358,Every new level requires becoming a beginner at something again.,Men,Growth,Becoming,original,,,Original for @talksnwalks101,Growth Mindset,
MEN359,"A man's net worth should create options, not become his entire self-worth.",Men,Money Mindset,Self-Worth,original,,,Original for @talksnwalks101,Money & Wealth,
MEN360,"Control your mornings, your money, your mouth, and your attention; much of life follows.",Men,Discipline,Discipline & Action,original,,,Original for @talksnwalks101,Discipline,
MEN361,The smell of rain on warm earth can bring back years faster than photographs.,Men,Childhood Nostalgia,Happiness & Gratitude,original,,,Original for @talksnwalks101,Nostalgia & Childhood,
MEN362,Growing older teaches you that home was never only a place; it was a collection of voices.,Men,Childhood Nostalgia,Happiness & Gratitude,original,,,Original for @talksnwalks101,Nostalgia & Childhood,
MEN363,"Your first cricket team had no contracts, no sponsors, and the strongest loyalty you may ever know.",Men,Childhood Nostalgia,Happiness & Gratitude,original,,,Original for @talksnwalks101,Nostalgia & Childhood,
MEN364,Some memories hurt only because they were once completely ordinary.,Men,Childhood Nostalgia,Happiness & Gratitude,original,,,Original for @talksnwalks101,Nostalgia & Childhood,
MEN365,We did not know those ordinary evenings were becoming the days we would one day miss most.,Men,Childhood Nostalgia,Happiness & Gratitude,original,,,Original for @talksnwalks101,Nostalgia & Childhood,
